priority_score,tax_delinquent,occupancy,property_address,unit,property_type,owner_name,owner_type,mailing_address,mailing_city,mailing_state,mailing_zip,foreign_address_hint,estate_or_heirs,life_estate,trust,corporate,care_of_mailing,et_al_multiple_owners,owner_next_door,likely_inherited,last_sale_date,last_sale_price,last_sale_type,years_since_last_sale,deed_book,deed_page,assessed_total,assessed_land,assessed_building,year_built,style,units,living_area_sqft,lot_size_sqft,zoning,parcel_id,use_code,use_description,tax_delinquent_detail,tax_delinquent_source,lat,lon,map_link,loc_id,data_vintage
8,,absentee - out of state (PO Box),43 PRENTISS LN,,Single family,COMERICA BANK TR & TRUST NA,LLC / corporate,"PO BOX 460169, DEPT 651",HOUSTON,TX,77056,,,,YES,YES,,,,,1995-09-08,0,nominal / non-arms-length transfer,31,1146,3,3046000,1280000,1763000,1966,Garrison,1,3858,16390,8,54-4,101,Single Family Residential,,,42.404592,-71.179947,"https://maps.google.com/?q=42.404592,-71.179947",F_742608_2972624,CY24_FY24
7,,absentee - elsewhere in MA (PO Box),11-17 CRESCENT RD,,Apartments (4-8 units),RPZ REALTY LAND TRUST LLC TRS,LLC / corporate,PO BOX 35309,BRIGHTON,MA,02135,,,,YES,YES,,,,,1994-10-17,1,nominal / non-arms-length transfer,32,24927,388,1696000,1080000,616000,1960,Colonial,4,3584,9553,7,10-127,111,Apartments with Four to Eight Units,,,42.379741,-71.158783,"https://maps.google.com/?q=42.379741,-71.158783",F_748356_2963591,CY24_FY24
6,,absentee - out of state (PO Box),1 B ST UNIT 1,1,Condominium,STREELA PARTNERS LLC,LLC / corporate,PO BOX 910980,SAN DIEGO,CA,92191,,,,,YES,,,,,2020-09-15,1,nominal / non-arms-length transfer,6,75620,494,1306000,0,1306000,2007,Condo,1,1902,,7,29-63-1,102,Residential Condominium,,,42.388653,-71.186438,"https://maps.google.com/?q=42.388653,-71.186438",F_740880_2966808,CY24_FY24
6,,absentee - elsewhere in MA,10-12 CHANDLER ST,,Two-family,12TH ST LLC,LLC / corporate,40 FAYETTE ST,ARLINGTON,MA,02476,,,,,YES,,,,,1992-09-02,1,nominal / non-arms-length transfer,34,22361,204,1201000,780000,413000,1928,Old Style,2,2584,4965,7,28-55,104,Two-Family Residential,,,42.384979,-71.19063,"https://maps.google.com/?q=42.384979,-71.19063",F_739747_2965468,CY24_FY24
6,,absentee - out of state,11-13 LESLIE RD,,Two-family,11-13 LESLIE LLC,LLC / corporate,145 WESTERN POINT RD,YORK,ME,03909,,,,,YES,,,,,2007-10-29,10,nominal / non-arms-length transfer,19,50280,319,942000,773000,169000,1929,Old Style,2,2424,4800,7,26-94,104,Two-Family Residential,,,42.388245,-71.180441,"https://maps.google.com/?q=42.388245,-71.180441",F_742496_2966671,CY24_FY24
6,,absentee - elsewhere in MA,124-126 LEWIS RD,,Two-family,PAYSON PARK RENTAL LLC,LLC / corporate,118 WOODCLIFF RD,CHESTNUT HILL,MA,02467,,,,,YES,,,,,1991-09-27,1,nominal / non-arms-length transfer,35,21440,560,1331000,949000,374000,1924,Old Style,2,2460,5687,7,3-68,104,Two-Family Residential,,,42.380721,-71.16444,"https://maps.google.com/?q=42.380721,-71.16444",F_746827_2963943,CY24_FY24
6,,absentee - elsewhere in MA,140-142 SLADE ST,,Two-family,BAHL REALTY LLC,LLC / corporate,98 CYPRESS ST,WATERTOWN,MA,02472,,,,,YES,,,,,1992-05-06,1,nominal / non-arms-length transfer,34,22012,169,1136000,802000,334000,1925,Old Style,2,2150,5541,7,26-107,104,Two-Family Residential,,,42.38752,-71.179332,"https://maps.google.com/?q=42.38752,-71.179332",F_742795_2966404,CY24_FY24
6,,absentee - elsewhere in MA,17-19 JONATHAN ST,,Two-family,BLOUKE LLC,LLC / corporate,23 VIRGINIA RD,NATICK,MA,01760,,,,,YES,,,,,1992-03-25,1,nominal / non-arms-length transfer,34,1092,166,1107000,762000,338000,1920,Old Style,2,2396,4517,7,15-139,104,Two-Family Residential,,,42.381107,-71.18544,"https://maps.google.com/?q=42.381107,-71.18544",F_741153_2964061,CY24_FY24
6,,absentee - elsewhere in MA,194-196 TRAPELO RD,,Two-family,DUNGAN REALTY TRUST EDITH B DUNGAN TR,LLC / corporate,138 SCHOOL ST,CHELMSFORD,MA,01824,,,,YES,YES,,,,,2019-10-25,1,nominal / non-arms-length transfer,7,73524,453,1014000,695000,312000,1925,Old Style,2,2484,6002,7,12-176,104,Two-Family Residential,,,42.381565,-71.178499,"https://maps.google.com/?q=42.381565,-71.178499",F_743030_2964236,CY24_FY24
6,,absentee - elsewhere in MA,24-26 WARWICK RD,,Two-family,ALC WARWICK ROAD REALTY TRUST,LLC / corporate,293 COMMONWEALTH AVE,BOSTON,MA,02115,,,,YES,YES,,,,,2008-07-16,1,nominal / non-arms-length transfer,18,51440,387,1445000,824000,613000,1920,Old Style,2,3453,4912,7,6-97,104,Two-Family Residential,,,42.384249,-71.174234,"https://maps.google.com/?q=42.384249,-71.174234",F_744178_2965218,CY24_FY24
